"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"10107","Tarboro High School",4,"Video",NA,4,4,4,4,4,4,1
"10109","Northern Nash High School",0,"",NA,4,4,4,4,4,4,1
"10110","Ledford High School",4,"Handout,Video",NA,3,4,4,4,4,4,1
"10111","East Rowan High School",0,"",NA,4,4,4,4,4,4,1
"10112","East Rowan High School",0,"",NA,3,3,4,4,4,3,1
"10115","Pamlico County High School",3,"Video",NA,4,4,4,4,4,3,1
"10116","Currituck County High School",2,"Handout,Video",NA,4,3,4,4,4,3,1
"10117","West Stokes High School",1,"Handout",NA,4,3,4,4,1,3,1
"10119","Northern Guilford High School",4,"Handout,PowerPoint,Video",NA,3,3,4,3,4,4,1
"10122","Jordan - Matthews High School",0,"",NA,4,4,4,4,4,4,1
"10123","Jordan - Matthews High School",0,"",NA,4,3,4,3,4,3,1
"10125","East Rowan High School",1,"Video",NA,2,3,4,3,4,3,1
"10126","West Craven High School",0,"",NA,4,3,4,3,4,3,1
"10127","West Craven High School",0,"",NA,4,4,4,4,4,4,1
"10130","Northern Guilford High School",0,"",NA,3,3,3,3,4,3,0
"10133","Salisbury High School",0,"",NA,3,4,4,4,4,4,0
"10136","South Lenoir High School",0,"",NA,3,2,4,4,4,2,1
"10137","Overhills High School",0,"",NA,3,3,4,4,4,4,1
"10139","Ledford High School",0,"",NA,3,4,4,4,4,3,1
"10140","Hoke County High School",0,"",NA,3,3,4,3,4,3,1
"10141","Northern Guilford High School",0,"",NA,3,4,4,4,4,4,1
"10142","Northern Guilford High School",2,"PowerPoint,Video",NA,3,3,4,3,4,3,1
"10143","East Rowan High School",0,"",NA,1,3,3,3,3,3,1
"10144","Hoke County High School",0,"",NA,1,4,4,4,4,3,1
"10148","Hoke County High School",1,"Video",NA,3,4,4,3,4,3,1
"10150","Northern Guilford High School",0,"",NA,1,3,4,4,4,4,1
"10153","Kings Mountain High School",2,"PowerPoint",NA,3,4,4,3,4,4,1
"10154","West Stokes High School",1,"Other",NA,3,3,4,4,4,4,1
"10155","Ledford High School",1,"Other",NA,3,4,4,4,4,4,1
"10159","Kings Mountain High School",1,"PowerPoint",NA,3,2,4,4,4,3,1
"10160","South Lenoir High School",1,"Handout",NA,4,4,4,4,4,4,1
"10161","South Iredell High School",2,"Other",NA,3,3,4,3,4,4,1
"10168","South Lenoir High School",2,"",NA,4,4,4,4,4,4,1
"10174","Northern Guilford High School",NA,"PowerPoint",NA,4,4,4,4,4,4,1
"10177","Sandhoke County High School",0,"",NA,3,2,4,2,4,2,1
"10179","South Iredell High School",2,"Other",NA,3,3,4,4,4,4,1
"10181","Jordan - Matthews High School",2,"Handout",NA,3,3,4,4,4,4,1
"10185","West Stokes High School",0,"",NA,3,4,4,3,4,4,1
"10187","West Stokes High School",1,"Other",NA,3,3,4,4,4,3,1
"10188","Hoke County High School",0,"",NA,2,2,4,4,4,4,1
"10190","Ledford High School",0,"",NA,4,3,4,4,4,3,1
"10192","Northern Guilford High School",0,"",NA,3,3,4,3,4,4,1
"10193","First Flight High School",0,"",NA,3,3,4,4,4,3,1
"10197","First Flight High School",1,"PowerPoint,Video",NA,3,3,4,4,4,3,1
"10204","Northern Guilford High School",0,"",NA,3,3,3,3,4,4,1
"10208","West Craven High School",0,"",NA,3,3,4,3,4,4,1
"10213","West Craven High School",1,"Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,1
"10243","Hoke County High School",0,"",NA,4,3,4,4,4,4,1
"10244","Hoke County High School",0,"",NA,1,4,4,4,4,3,1
"10246","West Craven High School",2,"Lecture,Video",NA,4,4,4,4,4,4,1
"10248","West Craven High School",0,"",NA,4,4,4,4,4,4,1
"10251","West Stokes High School",1,"Lecture",NA,3,3,4,4,4,3,1
"10252","West Forsyth High School",0,"",NA,3,3,4,4,4,3,1
"10255","Hoke County High School",1,"Video",NA,4,4,4,4,4,4,1
"10258","Hoke County High School",0,"",NA,3,3,4,4,4,4,1
"10267","First Flight High School",0,"",NA,4,3,4,4,4,4,1
"10268","Northern Guilford High School",0,"",NA,3,4,4,4,4,4,1
"10271","First Flight High School",0,"",NA,2,2,4,3,4,3,0
"10276","West Stokes High School",0,"",NA,3,3,4,3,4,4,1
"10278","Lincolnton High School",0,"",NA,1,1,1,1,1,1,1
"10280","Asheville High School",2,"Handout,Video",NA,3,4,4,3,4,4,1
"10281","Richmond High School",0,"",NA,4,4,4,4,4,4,1
"10284","SouthWest Edgecombe High School",0,"",NA,2,2,4,4,4,3,1
"10286","First Flight High School",1,"Handout,Video",NA,3,4,4,4,4,4,1
"10287","Currituck County High School",0,"",NA,4,3,4,4,4,4,1
"10288","South Johnston High School",1,"Lecture",NA,3,4,4,4,4,4,1
"10290","Fairmont High School",0,"",NA,4,3,4,3,4,2,1
"10291","Fairmont High School",0,"",NA,4,4,4,4,4,4,0
"10293","Seaforth High School",0,"",NA,3,2,4,4,4,4,0
"10294","Pasquotank County High School",1,"Video",NA,3,3,4,3,4,3,1
"10295","Jordan - Matthews High School",1,"Handout",NA,3,3,4,4,4,4,1
"10297","West Stokes High School",1,"PowerPoint",NA,3,4,4,4,4,4,1
"10299","Richmond High School",0,"",NA,4,3,4,4,4,3,1
"10302","Rocky Mount High School",0,"",NA,1,3,4,4,1,4,1
"10305","Tarboro High School",0,"",NA,2,3,4,4,4,4,1
"10306","West Stokes High School",0,"",NA,1,3,2,3,4,4,0
"10307","South Iredell High School",2,"Virtual Reality (VR)",NA,2,4,3,3,4,2,1
"10309","First Flight High School",0,"",NA,2,2,4,4,4,4,1
"10312","Jordan - Matthews High School",0,"",NA,3,3,4,4,4,4,1
"10313","Hoke County High School",3,"Handout,Lecture,Video",NA,3,3,4,3,4,2,1
"10318","First Flight High School",1,"PowerPoint,Video",NA,3,2,4,4,4,4,1
"10323","Northern Guilford High School",1,"Handout",NA,2,3,4,3,4,3,1
"10324","Meyers Park High School",0,"",NA,3,3,4,4,4,3,1
"10325","Meyers Park High School",1,"Video",NA,4,4,4,3,4,4,1
"10328","Davie High School",3,"Handout",NA,3,4,4,4,4,4,1
"10334","Chapel Hill High School",0,"",NA,3,3,3,3,3,2,1
"10338","Ledford High School",1,"Other",NA,2,3,4,4,4,4,1
"10339","West Stokes High School",0,"",NA,3,3,4,4,4,3,1
"10340","Jordan - Matthews High School",0,"",NA,3,4,4,4,4,4,1
"10341","Hoke County High School",1,"Video",NA,3,4,4,4,4,4,1
"10343","Lincoln Charter",0,"",NA,3,3,4,4,4,4,1
"10348","Burns High School",NA,"Handout,Video",NA,1,2,4,3,4,4,1
"10349","Roberson, T.C. High School",0,"",NA,3,4,4,4,4,4,1
"10356","Seaforth High School",0,"",NA,2,1,4,3,4,3,1
"10364","South Johnston High School",1,"PowerPoint",NA,4,4,4,4,4,4,1
"10365","Pamlico County High School",0,"",NA,3,3,4,4,4,4,1
"10366","Northern Guilford High School",0,"",NA,3,3,4,3,4,4,1
"10368","Kings Mountain High School",0,"",NA,3,3,4,3,4,3,1
"10370","Pasquotank County High School",1,"Other",NA,3,3,4,2,4,2,1
"10371","Smithfield - Selma High School",0,"",NA,4,4,4,4,4,4,1
"10373","Richmond High School",0,"",NA,4,3,4,4,4,3,1
"10374","Jefferson, Thomas Classical Academy",0,"",NA,3,4,4,4,4,3,1
"10375","Kings Mountain High School",0,"",NA,4,3,4,4,4,4,1
"10379","Fairmont High School",0,"",NA,2,4,4,3,4,3,1
"10383","West Stokes High School",0,"",NA,4,4,4,3,4,3,1
"10384","Burns High School",1,"Video",NA,3,3,4,3,4,4,1
"10387","Fairmont High School",0,"",NA,3,3,4,2,4,3,1
"10392","First Flight High School",NA,"Other",NA,3,3,3,3,3,3,1
"10395","South Johnston High School",0,"",NA,1,3,4,3,4,NA,1
"10396","Seaforth High School",0,"",NA,3,4,4,3,4,3,1
"10399","Hoke County High School",3,"Handout,Lecture,Video",NA,3,4,4,3,4,4,1
"10401","Northern Guilford High School",4,"Handout,Lecture",NA,1,4,4,3,4,4,1
"10402","Burns High School",1,"PowerPoint",NA,4,4,4,4,4,4,1
"10403","West Craven High School",1,"Video",NA,3,3,4,3,4,4,1
"10404","Roberson, T.C. High School",3,"Video",NA,3,4,4,3,4,4,1
"10406","Carrboro High School",0,"",NA,3,4,4,4,4,4,1
"10411","North East Carolina Preparatory School",1,"Other",NA,3,3,3,3,3,3,1
"10412","Hoke County High School",2,"Lecture",NA,3,4,4,3,4,3,1
"10413","Hoke County High School",2,"Video",NA,3,3,4,4,4,4,1
"10415","Northern Guilford High School",4,"Handout,Lecture,PowerPoint,Video",NA,3,4,3,3,3,3,1
"10417","Hoke County High School",0,"",NA,2,3,3,3,2,3,1
"10420","North East Carolina Preparatory School",0,"",NA,3,3,3,3,4,3,1
"10424","Hoke County High School",1,"Video",NA,3,4,4,3,4,3,1
"10425","Hoke County High School",0,"",NA,4,3,4,4,1,4,1
"10427","Hoke County High School",0,"",NA,2,3,3,4,4,3,0
"10428","West Stokes High School",0,"",NA,3,3,3,3,3,3,1
"10429","Northwood High School",0,"",NA,3,4,4,4,4,3,1
"10430","Hoke County High School",4,"Video",NA,4,3,4,4,4,4,1
"10431","Jefferson, Thomas Classical Academy",2,"Lecture",NA,2,3,4,3,4,2,1
"10432","Hoke County High School",0,"",NA,3,3,4,4,4,4,1
"10434","First Flight High School",0,"",NA,3,3,3,3,3,3,1
"10435","West Stokes High School",0,"",NA,4,4,4,4,4,4,1
"10439","Hoke County High School",0,"",NA,3,3,3,3,3,3,1
"10442","Sandhoke County High School",0,"",NA,4,4,4,4,4,4,1
"10446","Ledford High School",0,"",NA,2,4,4,4,4,4,1
"10449","Vance Charter School",0,"",NA,3,3,2,2,3,2,0
"10450","Triton High School",0,"",NA,3,3,4,3,4,4,1
"10452","Fairmont High School",0,"",NA,1,NA,1,1,1,1,1
"10453","West Stokes High School",0,"",NA,4,3,4,3,4,3,0
"10454","Fairmont High School",0,"",NA,NA,NA,NA,NA,NA,NA,1
"10455","Northern Guilford High School",0,"",NA,2,3,4,4,4,3,1
"10457","Seaforth High School",2,"Handout,Lecture",NA,3,3,4,2,4,3,1
"10458","Southern Wayne High School",0,"",NA,NA,3,4,3,3,3,1
"10466","Bethany Community School",0,"",NA,3,3,4,3,4,3,1
"10474","Burns High School",4,"Lecture",NA,4,3,4,3,4,3,1
"10475","Northern Guilford High School",0,"",NA,4,4,4,4,4,4,1
"10478","West Stokes High School",4,"Handout",NA,4,4,4,4,4,4,1
"10479","Burns High School",4,"Lecture",NA,3,4,4,4,4,4,1
"10480","Northern Guilford High School",1,"Video",NA,4,3,4,4,4,3,1
"10492","First Flight High School",0,"",NA,3,4,4,4,4,4,1
"10495","First Flight High School",0,"",NA,2,3,4,3,4,3,1
"10496","Bethany Community School",1,"Handout",NA,3,4,4,4,4,4,1
"10497","Northern Guilford High School",2,"Handout,Lecture,PowerPoint,Video",NA,2,3,4,3,4,3,1
"10508","South Iredell High School",3,"Lecture,PowerPoint,Video,Other",NA,1,4,4,3,4,3,1
"10514","Northwest Cabarrus High School",0,"",NA,3,2,4,4,4,4,1
"10515","First Flight High School",0,"",NA,NA,2,4,3,3,4,1
"10516","Raleigh Charter High School",0,"",NA,2,3,3,3,3,3,1
"10517","Currituck County High School",0,"",NA,3,3,3,3,4,3,1
"10518","West Stokes High School",0,"",NA,3,2,4,3,4,3,1
"10528","Pasquotank County High School",NA,"PowerPoint,Video",NA,2,3,4,3,3,4,0
"10539","Bunn High School",4,"PowerPoint",NA,4,4,4,4,4,4,1
"10541","Tarboro High School",0,"",NA,3,4,4,2,4,4,1
"10542","Jordan - Matthews High School",0,"",NA,2,3,3,3,3,3,1
"10544","South Lenoir High School",1,"Handout",NA,3,4,4,4,4,4,1
"10545","First Flight High School",1,"Video",NA,3,3,3,3,4,3,1
"10555","Ledford High School",0,"",NA,3,3,4,4,4,4,1
"10557","Northern Guilford High School",1,"Video",NA,3,4,4,4,4,4,1
"10558","North Lincoln High School",0,"",NA,3,3,4,3,4,3,0
"10559","Jordan - Matthews High School",0,"",NA,3,3,4,4,4,3,1
"10561","West Forsyth High School",1,"Video",NA,3,3,4,3,4,4,1
"10568","Hoke County High School",4,"Video",NA,4,4,4,4,4,3,1
"10574","Hoke County High School",0,"",NA,3,4,4,4,4,3,1
"10575","Triton High School",0,"",NA,3,3,4,4,4,2,1
"10579","Carver Middle School",0,"",NA,4,4,4,4,4,4,0
"10582","Hoke County High School",0,"",NA,4,4,4,4,4,4,1
"10584","Hoke County High School",0,"",NA,2,3,4,4,4,4,1
"10587","Ledford High School",0,"",NA,3,4,4,4,4,4,1
"10588","Bethany Community School",0,"",NA,4,3,4,3,4,4,1
"10590","Vance Charter School",2,"Other",NA,3,3,4,4,4,2,1
"10591","Meyers Park High School",0,"",NA,3,3,4,4,4,4,1
"10593","West Forsyth High School",0,"",NA,2,3,4,2,4,2,1
"10595","Northern Nash High School",0,"",NA,4,2,4,4,4,4,1
"10596","First Flight High School",0,"",NA,3,3,4,4,4,3,1
"10597","Sandhoke County High School",0,"",NA,2,1,4,4,4,2,1
"10599","South Iredell High School",0,"",NA,3,2,4,3,4,3,1
"10600","Laney, E.A. High School",1,"Handout",NA,3,3,4,3,4,3,1
"10601","First Flight High School",NA,"Handout,Lecture,PowerPoint,Video",NA,3,3,4,4,4,3,1
"10602","Fairmont High School",0,"",NA,2,2,4,3,4,4,1
"10604","Tarboro High School",4,"Video",NA,2,3,4,3,4,3,1
"10605","Northwest Cabarrus High School",3,"Lecture",NA,3,4,4,4,4,4,1
"10606","West Craven High School",4,"Handout",NA,3,3,4,4,4,4,1
"10618","Rutherfordton-Spindale Central High School",0,"",NA,1,4,4,4,4,4,1
"10621","Rutherfordton-Spindale Central High School",0,"",NA,3,3,4,3,4,3,1
"10622","Northwest Cabarrus High School",1,"Other",NA,3,3,3,4,4,4,1
"10624","Northern Guilford High School",1,"Video",NA,3,4,4,3,4,4,1
"10625","Owen, Charles D. High School",0,"",NA,1,3,4,4,4,4,1
"10626","Northwest Cabarrus High School",0,"",NA,3,3,4,4,4,4,1
"10627","Hoke County High School",0,"",NA,3,3,3,3,3,3,1
"10628","Bethany Community School",2,"PowerPoint",NA,3,3,4,4,4,3,1
"10633","Rutherfordton-Spindale Central High School",0,"",NA,4,4,4,4,4,3,1
"10634","Hoke County High School",1,"Video",NA,3,3,4,4,4,3,1
"10637","Hoke County High School",0,"",NA,3,4,4,4,4,3,1
"10639","Sandhoke County High School",0,"",NA,3,2,3,3,4,3,1
"10641","Meyers Park High School",1,"PowerPoint",NA,3,4,4,4,4,4,1
"10642","Meyers Park High School",0,"",NA,3,4,4,4,4,4,1
"10643","Northern Guilford High School",2,"Video",NA,3,3,3,3,4,4,1
"10645","North East Carolina Preparatory School",0,"",NA,3,4,4,3,4,4,1
"10646","Hoke County High School",1,"Video",NA,4,3,4,4,4,3,1
"10648","Tarboro High School",0,"",NA,4,4,NA,4,4,4,1
"10649","Northwest Cabarrus High School",0,"",NA,3,4,4,4,4,2,1
"10650","Currituck County High School",2,"Lecture",NA,3,3,4,4,4,2,1
"10651","Rutherfordton-Spindale Central High School",1,"Handout,Lecture,Video",NA,3,4,4,4,4,4,1
"10652","Currituck County High School",2,"Handout,Lecture,PowerPoint,Video",NA,4,3,4,3,4,3,0
"10653","Currituck County High School",4,"Handout,Lecture",NA,3,3,4,4,4,4,1
"10654","Northwest",1,"PowerPoint,Video",NA,4,4,NA,4,4,2,1
"10656","Rutherfordton-Spindale Central High School",0,"",NA,1,3,4,3,4,4,1
"10658","Northwest Cabarrus High School",0,"",NA,1,4,4,4,4,4,1
"10660","Currituck County High School",0,"",NA,3,3,4,3,4,3,1
"10661","Northwest Cabarrus High School",0,"",NA,4,4,4,3,4,4,1
"10663","Rutherfordton-Spindale Central High School",0,"",NA,3,3,1,3,1,2,1
"10665","Triton High School",0,"",NA,4,3,4,4,4,4,1
"10667","Northwest Cabarrus High School",3,"Video",NA,4,NA,4,4,4,4,1
"10668","Northern Nash High School",1,"Video",NA,3,4,4,3,4,3,1
"10669","Hoke County High School",1,"Lecture",NA,3,4,4,3,4,4,1
"10670","Northwest Cabarrus High School",3,"Lecture",NA,4,4,4,4,4,4,1
"10671","Northwest Cabarrus High School",0,"",NA,4,4,4,4,4,4,1
"10673","Northwest",1,"Other",NA,3,4,4,4,4,4,1
"10674","Bethany Community School",0,"",NA,3,2,4,4,4,4,1
"10675","Jordan - Matthews High School",0,"",NA,3,4,4,4,4,4,1
"10677","Currituck County High School",1,"Lecture,PowerPoint",NA,3,4,4,3,4,4,1
"10679","Currituck County High School",0,"",NA,2,2,4,4,4,3,1
"10680","South Iredell High School",1,"Other",NA,2,3,4,4,4,4,1
"10681","Meyers Park High School",0,"",NA,1,2,4,4,4,3,1
"10684","Tarboro High School",0,"",NA,4,4,4,4,4,4,1
"10685","Burns High School",2,"Lecture",NA,4,4,4,4,4,4,1
"10688","Tarboro High School",0,"",NA,4,4,4,4,4,4,1
"10689","Hoke County High School",0,"",NA,NA,NA,NA,NA,NA,NA,1
"10691","Sandhoke County High School",0,"",NA,3,2,4,3,4,2,0
"10692","Hoke County High School",NA,"Video",NA,3,3,3,3,3,3,1
"10694","Sandhoke County High School",1,"Lecture",NA,4,4,3,3,4,3,1
"10695","Hoke County High School",4,"Handout,Lecture,PowerPoint,Video,Virtual Reality (VR),Other",NA,1,1,1,1,1,1,1
"10696","Hoke County High School",1,"Lecture",NA,4,4,4,4,4,4,1
"10698","Hoke County High School",3,"Handout,Lecture,PowerPoint",NA,1,4,4,3,4,4,1
"10699","Hoke County High School",4,"Video",NA,4,4,4,4,4,4,1
"10700","Burns High School",4,"Lecture",NA,3,4,4,3,4,4,1
"10704","Hoke County High School",4,"Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,1
"10708","Hoke County High School",0,"",NA,2,3,4,2,4,2,1
"10712","Jordan - Matthews High School",0,"",NA,3,3,3,3,3,3,1
"10715","Currituck County High School",1,"PowerPoint,Video",NA,3,4,4,4,4,2,1
"10716","Hoke County High School",0,"",NA,3,3,4,4,4,3,1
"10721","Hoke County High School",0,"",NA,3,3,4,4,4,3,1
"10725","Chapel Hill High School",0,"",NA,2,3,4,3,4,4,1
"10731","Rutherfordton-Spindale Central High School",0,"",NA,4,4,4,4,4,4,1
"10738","Richmond High School",2,"Handout",NA,4,3,4,4,4,4,1
"10741","South Johnston High School",0,"",NA,2,4,4,4,4,4,1
"10742","Northwest Cabarrus High School",2,"Video",NA,3,3,4,4,4,4,1
"10748","Burns High School",1,"Lecture,PowerPoint",NA,4,3,4,4,4,3,1
"10750","Northwest Cabarrus High School",2,"PowerPoint,Video",NA,2,3,4,3,4,2,1
"10753","Tarboro High School",4,"Handout,Lecture,PowerPoint,Video",NA,4,4,4,4,4,4,1
"10758","Northwest Cabarrus High School",1,"Other",NA,3,4,4,4,4,3,1
"10760","Northwest Cabarrus High School",1,"Handout",NA,3,4,4,3,4,4,1
"10761","Triton High School",0,"",NA,3,3,4,3,4,4,1
"10772","Sandhoke County High School",0,"",NA,3,4,4,3,4,3,1
"10773","West Stokes High School",0,"",NA,3,2,4,3,4,2,1
"10774","Northern Nash High School",4,"Handout,Lecture,PowerPoint,Video",NA,3,2,3,2,3,2,1
"10775","South Lenoir High School",1,"Video",NA,3,3,4,4,4,4,1
"10779","Northern Nash High School",0,"",NA,3,4,4,3,4,4,1
"10781","Northwest Cabarrus High School",2,"PowerPoint",NA,4,4,4,4,4,4,1
"10788","South Johnston High School",0,"",NA,2,4,4,4,4,4,1
"10789","West Stokes High School",0,"",NA,3,3,4,3,4,4,1
"10796","Northern Nash High School",0,"",NA,3,3,4,3,4,3,1
"10800","Sandhoke County High School",0,"",NA,1,3,3,3,3,2,1
"10801","North Lincoln High School",0,"",NA,2,2,4,4,4,4,1
"10803","South Johnston High School",0,"",NA,3,3,4,3,4,3,1
"10806","Sandhoke County High School",0,"",NA,3,3,4,4,4,3,1
"10810","South Lenoir High School",0,"",NA,4,4,4,4,4,4,1
"10811","South Johnston High School",0,"",NA,4,4,4,4,4,4,1
"10814","Western Harnett High School",0,"",NA,3,4,4,4,4,4,1
"10817","Northwest Cabarrus High School",2,"Handout,Lecture,Video",NA,1,4,4,4,4,3,1
"10819","Tarboro High School",0,"",NA,2,NA,3,2,4,4,1
"10825","Northwest",0,"",NA,1,2,4,3,4,3,1
"10827","Burns High School",4,"Handout",NA,2,4,4,4,4,4,1
"10828","Overhills High School",0,"",NA,4,4,4,4,4,4,1
"10830","Hoke County High School",0,"",NA,1,3,3,3,4,3,1
"10831","Northwest",1,"Other",NA,3,4,3,3,4,3,1
"10833","Richmond High School",0,"",NA,2,3,4,4,4,4,0
"10835","South Johnston High School",1,"Handout",NA,4,4,4,3,4,3,1
"10836","South Johnston High School",0,"",NA,4,3,4,4,4,4,1
"10838","Tarboro High School",0,"",NA,4,4,4,4,4,4,1
"10840","South Johnston High School",0,"",NA,3,3,4,4,4,4,1
"10841","Western Harnett High School",0,"",NA,3,4,4,4,4,4,1
"10842","Currituck County High School",1,"Other",NA,2,3,4,4,4,3,1
"10843","Burns High School",2,"Video",NA,2,3,4,3,4,4,1
"10846","First Flight High School",0,"",NA,2,3,3,3,4,3,1
"10847","West Forsyth High School",0,"",NA,3,3,3,3,4,2,1
"10848","Northwest Cabarrus High School",1,"PowerPoint",NA,2,3,4,3,4,3,1
"10849","Tarboro High School",0,"",NA,3,4,4,3,4,3,1
"10850","Burns High School",4,"Handout,Lecture,PowerPoint,Video",NA,3,3,4,3,4,4,1
"10851","First Flight High School",1,"Handout",NA,4,3,4,4,4,4,1
"10859","Currituck County High School",1,"PowerPoint",NA,4,4,4,4,4,4,1
"10861","Tarboro High School",0,"",NA,3,2,4,4,4,3,1
"10868","Rutherfordton-Spindale Central High School",NA,"Other",NA,4,4,4,4,4,4,1
"10872","Rutherfordton-Spindale Central High School",0,"",NA,3,3,3,3,3,3,1
"10873","Rutherfordton-Spindale Central High School",0,"",NA,3,4,4,4,4,3,1
"10874","Hoke County High School",1,"PowerPoint,Video,Virtual Reality (VR)",NA,3,4,4,3,4,3,1
"10876","Tarboro High School",0,"",NA,4,2,4,4,4,3,1
"10877","Tarboro High School",0,"",NA,3,3,4,2,4,3,1
"10878","Hoke County High School",3,"Handout,Lecture,Video",NA,3,4,4,2,3,1,1
"10881","Rutherfordton-Spindale Central High School",0,"",NA,3,3,4,3,4,3,1
"10884","Ledford High School",0,"",NA,4,4,4,4,4,4,1
"10886","Rutherfordton-Spindale Central High School",0,"",NA,1,3,4,4,4,4,1
"10888","Sandhoke County High School",0,"",NA,3,2,4,2,4,2,1
"10889","West Forsyth High School",0,"",NA,3,3,3,3,4,4,1
"10895","Seaforth High School",0,"",NA,3,2,4,3,4,3,1
"10897","Hoke County High School",0,"",NA,4,2,4,4,4,1,1
"10900","West Forsyth High School",0,"",NA,1,3,4,4,4,4,1
"10902","West Forsyth High School",1,"PowerPoint",NA,3,4,4,3,4,4,1
"10904","South Johnston High School",1,"PowerPoint,Video",NA,3,3,4,3,4,3,1
"10905","Tarboro High School",0,"",NA,2,1,4,4,4,4,1
"10907","Northwest Cabarrus High School",2,"Video",NA,3,4,4,4,4,4,1
"10908","Sandhoke County High School",0,"",NA,3,4,4,4,4,2,1
"10914","North East Carolina Preparatory School",0,"",NA,3,4,4,3,4,4,1
"10917","Triton High School",4,"Handout,Video",NA,3,4,4,4,4,4,1
"10927","North East Carolina Preparatory School",0,"",NA,2,3,4,3,4,4,1
"10928","Rutherfordton-Spindale Central High School",1,"Lecture",NA,3,4,4,4,4,3,1
"10930","North East Carolina Preparatory School",0,"",NA,2,3,4,2,4,3,1
"10933","Rutherfordton-Spindale Central High School",0,"",NA,3,3,4,4,4,4,1
"10934","Fairmont High School",0,"",NA,1,4,4,4,4,4,1
"10938","Fairmont High School",0,"",NA,1,2,3,4,4,4,0
"10939","Fairmont High School",NA,"PowerPoint",NA,3,3,4,3,4,4,1
"10941","Currituck County High School",2,"Other",NA,3,4,4,3,4,4,1
"10943","South Johnston High School",0,"",NA,3,3,4,4,4,4,1
"10948","West Craven High School",0,"",NA,4,2,3,3,4,4,0
"10951","North East Carolina Preparatory School",0,"",NA,3,4,4,4,4,4,1
"10954","Rutherfordton-Spindale Central High School",0,"",NA,3,4,4,4,4,4,1
"10957","Rutherfordton-Spindale Central High School",NA,"Handout,PowerPoint,Video",NA,4,4,NA,4,4,4,1
"10958","South Johnston High School",0,"",NA,3,4,4,3,4,3,1
"10959","Northern Guilford High School",0,"",NA,2,2,4,4,4,3,1
"10961","North East Carolina Preparatory School",0,"",NA,3,4,4,4,4,NA,1
"10966","Tarboro High School",0,"",NA,4,4,4,4,4,4,1
"10967","Tarboro High School",0,"",NA,4,4,3,NA,3,4,1
"10969","Tarboro High School",1,"Other",NA,2,2,3,3,3,3,1
"10975","Pinecrest High School",0,"",NA,3,4,4,4,4,4,1
"10976","Currituck County High School",0,"",NA,2,2,4,4,4,1,0
"10978","McDowell High School",2,"Other",NA,3,3,4,3,4,4,1
"10986","North East Carolina Preparatory School",0,"",NA,4,3,4,3,4,3,1
"10988","Hoke County High School",0,"",NA,3,3,4,4,4,4,1
"10991","Northern Guilford High School",0,"",NA,3,3,4,4,4,2,1
"10992","North East Carolina Preparatory School",1,"Video",NA,4,4,4,4,4,2,1
"10996","Ledford High School",0,"",NA,4,4,4,4,4,4,1
"10997","Richmond High School",0,"",NA,3,4,4,4,4,4,1
"10999","Hoke County High School",0,"",NA,3,4,4,4,4,4,1
"11002","Raleigh Charter High School",0,"",NA,3,4,4,4,4,4,1
"11003","North East Carolina Preparatory School",1,"Handout,Lecture,PowerPoint,Video",NA,4,4,4,3,4,3,1
"11004","South Johnston High School",2,"PowerPoint",NA,3,3,3,3,3,3,1
"11005","North East Carolina Preparatory School",NA,"",NA,3,4,4,4,4,4,1
"11007","Ledford High School",3,"Other",NA,3,3,4,4,4,4,1
"11010","North East Carolina Preparatory School",0,"",NA,4,3,3,3,4,3,1
"11013","Asheville High School",0,"",NA,4,3,4,4,4,3,1
"11014","Asheville High School",0,"",NA,4,3,4,4,4,3,1
"11019","Burns High School",3,"Lecture",NA,4,4,4,4,4,4,1
"11020","West Stokes High School",2,"Lecture",NA,2,2,3,3,4,2,0
"11021","North East Carolina Preparatory School",1,"Video",NA,4,4,4,4,4,4,1
"11025","West Forsyth High School",4,"Handout,Video",NA,2,4,4,3,4,3,1
"11036","Fairmont High School",1,"PowerPoint",NA,3,4,4,4,4,3,1
"11039","Raleigh Charter High School",0,"",NA,1,2,4,3,4,4,1
"11040","North East Carolina Preparatory School",0,"",NA,3,2,4,4,4,4,1
"11042","Fairmont High School",0,"",NA,1,4,4,4,4,4,1
"11043","Currituck County High School",0,"",NA,2,2,4,3,4,4,1
"11047","Crest High School",2,"Video",NA,3,3,4,4,4,4,1
"11048","Fairmont High School",0,"",NA,2,1,1,2,1,1,1
"11052","Fairmont High School",1,"Lecture",NA,3,2,4,4,4,4,1
"11053","Fairmont High School",0,"",NA,3,4,4,3,4,4,1
"11054","Fairmont High School",0,"",NA,3,4,4,3,4,3,1
"11055","Trinity High School",2,"Other",NA,4,4,4,4,4,4,1
"11057","North East Carolina Preparatory School",0,"",NA,NA,4,4,4,4,4,1
"11059","North East Carolina Preparatory School",0,"",NA,4,4,4,4,4,3,1
"11060","South Johnston High School",3,"Other",NA,2,3,4,4,4,3,1
"11077","Raleigh Charter High School",1,"Handout,Lecture,PowerPoint",NA,3,2,4,3,4,4,0
"11084","Charlotte Catholic High School",0,"",NA,3,4,4,4,4,4,1
"11085","Ledford High School",0,"",NA,3,3,4,4,4,3,1
