"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"421","Apex Friendship High School",0,"",NA,NA,3,4,3,4,4,1
"423","Apex Friendship High School",0,"",NA,3,3,3,3,4,2,1
"425","Apex Friendship High School",0,"",NA,3,3,4,4,4,3,1
"428","Apex Friendship High School",4,"Lecture",NA,4,4,4,4,4,4,1
"429","Southern Wayne High School",NA,"",NA,NA,NA,NA,NA,NA,NA,1
"435","Sandhoke County High School",3,"Video",NA,3,3,3,3,4,3,1
"436","Spring Creek High School",1,"Handout",NA,3,4,4,4,4,3,1
"437","Apex Friendship High School",0,"",NA,2,1,4,4,4,4,1
"440","Apex Friendship High School",2,"PowerPoint,Video",NA,3,4,4,3,4,4,1
"453","Apex Friendship High School",0,"",NA,3,4,4,4,4,3,1
"454","Apex Friendship High School",0,"",NA,4,4,4,4,4,4,1
"455","Hoke County High School",0,"",NA,2,3,4,4,4,2,0
"461","Charlotte Catholic High School",2,"Lecture,Video",NA,4,4,4,4,4,4,1
"463","Wake Forest High School",3,"Video",NA,3,4,4,3,4,4,1
"465","Apex Friendship High School",0,"",NA,3,3,4,3,4,2,1
"471","Apex Friendship High School",0,"",NA,3,3,3,3,4,2,1
"473","Wake Forest High School",2,"Lecture,PowerPoint",NA,3,3,4,3,4,3,1
"475","Wake Forest High School",1,"PowerPoint,Video",NA,1,4,4,3,4,4,1
"478","Starmount High School",4,"Handout,PowerPoint,Video",NA,2,4,4,4,4,4,1
"479","Apex Friendship High School",2,"PowerPoint",NA,3,3,4,4,4,4,1
"484","Apex Friendship High School",0,"",NA,3,1,3,3,4,3,1
"487","Starmount High School",1,"PowerPoint",NA,2,3,4,4,4,3,1
"504","Wake Forest High School",4,"Lecture,Video",NA,3,3,4,3,4,4,1
"508","Robinson, Jay M. High School",0,"",NA,2,2,4,3,4,4,1
"526","Pamlico County High School",4,"Handout,Lecture,PowerPoint,Video,Virtual Reality (VR)",NA,3,4,4,3,4,3,1
"534","Person High School",0,"",NA,4,4,4,4,4,4,1
"537","Pamlico County High School",0,"",NA,3,3,4,4,4,3,1
"545","Apex Friendship High School",0,"",NA,4,4,4,4,NA,4,1
"548","Hoke County High School",3,"Video",NA,4,4,4,3,4,4,1
"555","Southern Wayne High School",0,"",NA,3,3,4,4,4,4,1
"559","Wake Forest High School",0,"",NA,3,3,3,3,3,3,1
"566","Apex Friendship High School",0,"",NA,3,4,4,3,4,4,1
"567","Apex Friendship High School",0,"",NA,3,4,3,3,4,4,1
"568","Apex Friendship High School",0,"",NA,2,3,4,3,4,3,1
"569","Apex Friendship High School",0,"",NA,3,4,4,4,4,3,1
"572","Apex Friendship High School",0,"",NA,3,2,3,2,4,4,1
"573","Hoke County High School",3,"PowerPoint,Video",NA,3,3,4,4,4,4,1
"574","Apex Friendship High School",0,"",NA,3,4,4,4,4,4,1
